Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
High Plains Drifter,1973,Clint Eastwood,"Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan",7.4,105,Drama,1973-04-07,A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.
The Ballad of Buster Scruggs,2018,"Directors:Ethan Coen, Joel Coen","Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy",7.3,133,Comedy,2018-11-09,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
Bacurau,2019,"Directors:Juliano Dornelles, Kleber Mendonça Filho","Bárbara Colen, Thomas Aquino, Silvero Pereira, Thardelly Lima",7.3,131,Adventure,2019-03-19,"After the death of her grandmother, Teresa comes home to her matriarchal village in a near-future Brazil to find a succession of sinister events that mobilizes all of its residents."
The Proposition,2005,John Hillcoat,"Ray Winstone, Guy Pearce, Emily Watson, Richard Wilson",7.3,104,Crime,2005-06-09,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother."
The Three Burials of Melquiades Estrada,2005,Tommy Lee Jones,"Tommy Lee Jones, Barry Pepper, Dwight Yoakam, January Jones",7.3,121,Adventure,2005-02-24,Ranch foreman Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico.
Pale Rider,1985,Clint Eastwood,"Clint Eastwood, Michael Moriarty, Carrie Snodgress, Sydney Penny",7.3,115,Drama,1985-06-28,A mysterious preacher (Clint Eastwood) protects a humble prospector village from a greedy mining company trying to encroach on their land.
Seven Brides for Seven Brothers,1954,Stanley Donen,"Jane Powell, Howard Keel, Jeff Richards, Russ Tamblyn",7.3,102,Comedy,1954-08-06,"In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too."
Hostiles,2017,Scott Cooper,"Scott Shepherd, Rosamund Pike, Ava Cooper, Stella Cooper",7.2,134,Drama,2017-01-26,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
El Topo,1970,Alejandro Jodorowsky,"Alejandro Jodorowsky, Brontis Jodorowsky, José Legarreta, Alfonso Arau",7.2,125,Drama,1970-04-15,A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters.
Bone Tomahawk,2015,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",7.1,132,Drama,2015-02-19,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
The Dressmaker,2015,Jocelyn Moorhouse,"Kate Winslet, Judy Davis, Liam Hemsworth, Hugo Weaving",7.0,119,Comedy,2015-10-29,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong."
The Longest Ride,2015,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",7.0,123,Comedy,2015-04-10,"The lives of a young couple intertwine with a much older man, as he reflects back on a past love."
Brimstone,2016,Martin Koolhoven,"Guy Pearce, Dakota Fanning, Emilia Jones, Carice van Houten",7.0,148,Drama,2016-01-12,"From the moment the new Reverend climbs the pulpit, Liz knows that she and her family are in great danger."
Two Mules for Sister Sara,1970,Don Siegel,"Clint Eastwood, Shirley MacLaine, Manolo Fábregas, Alberto Morin",7.0,116,Adventure,1970-06-16,"Nun Sara (Shirley MacLaine) is on the run in Mexico and is saved from cowboys by Hogan (Clint Eastwood), who is preparing for a future mission to capture a French fort. The pair become good friends, but Sara never does tell him th..."
Hang 'Em High,1968,Ted Post,"Clint Eastwood, Inger Stevens, Pat Hingle, Ed Begley",7.0,114,Drama,1968-07-31,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice."
Bubba Ho-Tep,2002,Don Coscarelli,"Bruce Campbell, Ossie Davis, Bob Ivy, Ella Joyce",6.9,92,Comedy,2002-10-10,"Elvis Presley and a black ""JFK"" stay in a nursing home where nothing happens - until a wayward Egyptian mummy comes and sucks out the old people's souls thru their anuses. The two decide to fight back."
Ravenous,1999,Antonia Bird,"Guy Pearce, Robert Carlyle, David Arquette, Jeremy Davies",6.9,101,Adventure,1999-03-19,"In a remote military outpost in the 19th century, Captain John Boyd and his regiment embark on a rescue mission which takes a dark turn when they are ambushed by a sadistic cannibal."
The Power of the Dog,2021,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee",6.8,126,Drama,2021-12-01,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love."
City Slickers,1991,Ron Underwood,"Billy Crystal, Jack Palance, Daniel Stern, Bruno Kirby",6.8,113,Comedy,1991-06-07,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
The Devil's Rejects,2005,Rob Zombie,"Sid Haig, Sheri Moon Zombie, Bill Moseley, William Forsythe",6.7,107,Crime,2005-07-22,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
The Horse Whisperer,1998,Robert Redford,"Robert Redford, Kristin Scott Thomas, Sam Neill, Dianne Wiest",6.7,169,Drama,1998-05-15,The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.
The Homesman,2014,Tommy Lee Jones,"Tommy Lee Jones, Hilary Swank, Grace Gummer, Miranda Otto",6.6,122,Drama,2014-05-18,"Three women who have been driven mad by pioneer life are to be transported across the country by covered wagon by the pious, independent-minded Mary Bee Cuddy, who in turn employs low-life drifter George Briggs to assist her."
Australia,2008,Baz Luhrmann,"Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",6.6,165,Adventure,2008-11-26,"Set in northern Australia before WWII, an Englishwoman who inherits a sprawling ranch reluctantly pacts with a stock-man in order to drive 2,000 head of cattle over unforgiving landscapes."
Far and Away,1992,Ron Howard,"Tom Cruise, Nicole Kidman, Thomas Gibson, Robert Prosky",6.6,140,Adventure,1992-05-22,"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely."
The Missing,2003,Ron Howard,"Tommy Lee Jones, Cate Blanchett, Evan Rachel Wood, Jenna Boyd",6.5,137,Adventure,2003-11-26,"In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo."
Three Amigos!,1986,John Landis,"Steve Martin, Chevy Chase, Martin Short, Alfonso Arau",6.5,104,Comedy,1986-12-12,"Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing."
A Million Ways to Die in the West,2014,Seth MacFarlane,"Seth MacFarlane, Charlize Theron, Liam Neeson, Amanda Seyfried",6.1,116,Comedy,2014-05-30,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival."
Cry Macho,2021,Clint Eastwood,"Clint Eastwood, Dwight Yoakam, Daniel V. Graulau, Amber Lynn Ashley",5.7,104,Drama,2021-09-17,"A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man."
Wild Wild West,1999,Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",4.9,106,Action,1999-06-30,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War."
The Ridiculous 6,2015,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner",4.8,119,Action,2015-12-11,"An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad."
Jonah Hex,2010,Jimmy Hayward,"Josh Brolin, Megan Fox, John Malkovich, Michael Fassbender",4.7,81,Action,2010-06-18,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth."
The Godfather,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",9.2,175,Crime,1972-03-24,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
Aynabaji,2016,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George",9.0,147,Crime,2016-06-26,"In the Original Series, seven different episodes come with seven different stories on different backdrops in different places, situations, incidents around different characters. Yet they are true to the core spirit of Aynabaji, an..."
The Godfather Part II,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",9.0,202,Crime,1974-12-18,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",9.0,96,Crime,1957-04-10,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
Jai Bhim,2021,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan",8.9,164,Crime,2021-11-02,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
Pulp Fiction,1994,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",8.9,154,Crime,1994-10-14,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Green Mile,1999,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",8.6,189,Crime,1999-12-10,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execut..."
Se7en,1995,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",8.6,127,Crime,1995-09-22,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons",8.6,118,Crime,1991-02-14,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
The Departed,2006,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",8.5,151,Crime,2006-10-06,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
American History X,1998,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",8.5,119,Crime,1998-11-20,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot..."
The Usual Suspects,1995,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",8.5,106,Crime,1995-08-16,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
Joker,2019,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",8.4,122,Crime,2019-10-04,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
Drishyam 2,2021,Jeethu Joseph,"Mohanlal, Meena, Ansiba, Esther Anil",8.4,152,Crime,2021-11-18,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
Witness for the Prosecution,1957,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",8.4,116,Crime,1957-02-06,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Drishyam,2013,Jeethu Joseph,"Mohanlal, Meena, Asha Sharath, Ansiba",8.3,160,Crime,2013-07-31,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Reservoir Dogs,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",8.3,99,Crime,1992-09-02,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Once Upon a Time in America,1984,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams",8.3,229,Crime,1984-06-01,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
The Sting,1973,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",8.3,129,Comedy,1973-12-25,Two grifters team up to pull off the ultimate con.
A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",8.3,136,Crime,1971-02-02,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
To Kill a Mockingbird,1962,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",8.3,129,Crime,1962-03-16,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
Double Indemnity,1944,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr",8.3,107,Crime,1944-07-06,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Andhadhun,2018,Sriram Raghavan,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan",8.2,139,Comedy,2018-10-05,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
No Country for Old Men,2007,"Directors:Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",8.2,122,Crime,2007-11-21,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Snatch,2000,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones",8.2,104,Comedy,2000-01-19,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
L.A. Confidential,1997,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger",8.2,138,Crime,1997-09-19,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Casino,1995,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",8.2,178,Crime,1995-11-22,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
Taxi Driver,1976,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks",8.2,114,Crime,1976-02-09,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Z,1969,Costa-Gavras,"Yves Montand, Irene Papas, Jean-Louis Trintignant, François Périer",8.2,127,Crime,1969-12-08,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
Dial M for Murder,1954,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams",8.2,105,Crime,1954-05-29,A former tennis star arranges the murder of his adulterous wife.
Pink,2016,Aniruddha Roy Chowdhury,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang",8.1,136,Crime,2016-09-16,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones",8.1,115,Comedy,2017-12-01,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Talvar,2015,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",8.1,132,Crime,2015-10-02,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
The Grand Budapest Hotel,2014,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",8.1,99,Adventure,2014-03-28,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Prisoners,2013,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo",8.1,153,Crime,2013-09-20,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Article 15,2019,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra",8.1,130,Crime,2019-06-28,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
Rang De Basanti,2006,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi",8.1,167,Comedy,2006-01-26,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
The Big Lebowski,1998,"Directors:Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",8.1,117,Comedy,1998-03-06,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
Fargo,1996,"Directors:Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare",8.1,98,Crime,1996-04-05,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
La haine,1995,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",8.1,98,Crime,1995-02-23,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Paper Moon,1973,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman",8.1,102,Comedy,1973-05-09,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
Cool Hand Luke,1967,Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin, J.D. Cannon",8.1,127,Crime,1967-11-01,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
On the Waterfront,1954,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",8.1,108,Crime,1954-06-22,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
Slumdog Millionaire,2008,"Directors:Danny Boyle, Loveleen Tandan","Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",8.0,120,Crime,2008-12-25,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
Sin City,2005,"Directors:Frank Miller, Quentin Tarantino, Robert Rodriguez","Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba",8.0,124,Crime,2005-04-01,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
Dogville,2003,Lars von Trier,"Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson",8.0,178,Crime,2003-04-23,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
Le Samouraï,1967,Jean-Pierre Melville,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier",8.0,105,Crime,1967-10-25,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
Touch of Evil,1958,Orson Welles,"Charlton Heston, Orson Welles, Janet Leigh, Joseph Calleia",8.0,95,Crime,1958-04-23,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town."
The Killing,1956,Stanley Kubrick,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen",8.0,84,Crime,1956-04-03,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
The Night of the Hunter,1955,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason",8.0,92,Crime,1955-07-27,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
Kind Hearts and Coronets,1949,Robert Hamer,"Dennis Price, Alec Guinness, Valerie Hobson, Joan Greenwood",8.0,106,Comedy,1949-06-14,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
Out of the Past,1947,Jacques Tourneur,"Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming",8.0,97,Crime,1947-12-01,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames."
The Maltese Falcon,1941,John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre",8.0,100,Crime,1941-10-18,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
Knives Out,2019,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis",7.9,130,Comedy,2019-11-27,"A detective investigates the death of the patriarch of an eccentric, combative family."
In Bruges,2008,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington",7.9,107,Comedy,2008-02-29,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
Mystic River,2003,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum",7.9,138,Crime,2003-10-15,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
Dancer in the Dark,2000,Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare",7.9,140,Crime,2000-10-06,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
Once Were Warriors,1994,Lee Tamahori,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga",7.9,102,Crime,1994-03-03,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
True Romance,1993,Tony Scott,"Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer",7.9,119,Crime,1993-09-10,"In Detroit, a pop culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple."
Carlito's Way,1993,Brian De Palma,"Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo",7.9,144,Crime,1993-11-12,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
Bound by Honor,1993,Taylor Hackford,"Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo",7.9,180,Crime,1993-04-30,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
The Untouchables,1987,Brian De Palma,"Kevin Costner, Sean Connery, Robert De Niro, Charles Martin Smith",7.9,119,Crime,1987-06-03,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
The Big Heat,1953,Fritz Lang,"Glenn Ford, Gloria Grahame, Jocelyn Brando, Alexander Scourby",7.9,89,Crime,1953-12-06,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
Strangers on a Train,1951,Alfred Hitchcock,"Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll",7.9,101,Crime,1951-06-30,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.
Rope,1948,Alfred Hitchcock,"James Stewart, John Dall, Farley Granger, Dick Hogan",7.9,80,Crime,1948-09-25,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
The Big Sleep,1946,Howard Hawks,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers",7.9,114,Crime,1946-08-31,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
Mildred Pierce,1945,Michael Curtiz,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden",7.9,111,Crime,1945-10-20,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
Arsenic and Old Lace,1944,Frank Capra,"Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson",7.9,118,Comedy,1944-09-21,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
Badla,2019,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel",7.8,118,Crime,2019-03-08,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.
Nightcrawler,2014,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed",7.8,117,Crime,2014-10-31,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A.crime journalism, he blurs the line between observer and participant to become the star of his own story."
The Girl with the Dragon Tattoo,2011,David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård",7.8,158,Crime,2011-12-21,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
Un prophète,2009,Jacques Audiard,"Tahar Rahim, Niels Arestrup, Adel Bencherif, Reda Kateb",7.8,155,Crime,2009-06-19,"Andy Warhol. The world knows his famous paintings of Campbell Soups or his portraits of Marilyn Monroe. His look, his face, like a signature, made him an artist-star. Yet few know the man behind the artist. One must go back to the..."
Crash,2004,Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave",7.8,112,Crime,2004-05-06,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
A Bronx Tale,1993,Robert De Niro,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra",7.8,121,Crime,1993-10-01,"Robert De Niro and Chazz Palminteri give captivating performances in this intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss."
Boyz n the Hood,1991,John Singleton,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir, Lloyd Avery II",7.8,112,Crime,1991-07-12,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
Mississippi Burning,1988,Alan Parker,"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif",7.8,128,Crime,1988-01-27,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
The King of Comedy,1982,Martin Scorsese,"Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard",7.8,109,Comedy,1982-12-18,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
The Day of the Jackal,1973,Fred Zinnemann,"Edward Fox, Terence Alexander, Michel Auclair, Alan Badel",7.8,143,Crime,1973-07-30,"In the aftermath of France allowing Algeria's independence, a group of resentful military veterans hire a professional assassin codenamed ""Jackal"" to kill President Charles de Gaulle."
