Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
Hillbilly Elegy,2020,Ron Howard,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett",6.7,116,Drama,2020-11-24,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
Moxie,2021,Amy Poehler,"Hadley Robinson, Lauren Tsai, Alycia Pascual-Pena, Nico Hiraga",6.7,111,Comedy,2021-03-03,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school."
Collateral Beauty,2016,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",6.7,97,Drama,2016-12-16,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and ..."
Purple Hearts,2022,Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim",6.7,122,Drama,2022-07-29,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits, but when tragedy strikes, the line between real and pretend begins to blur."
Popstar: Never Stop Never Stopping,2016,"Directors:Akiva Schaffer, Jorma Taccone","Andy Samberg, Jorma Taccone, Akiva Schaffer, Sarah Silverman",6.7,87,Comedy,2016-06-03,"When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status."
The Tender Bar,2021,George Clooney,"Ben Affleck, Tye Sheridan, Daniel Ranieri, Lily Rabe",6.7,106,Drama,2021-01-07,A boy growing up on Long Island seeks out father figures among the patrons at his uncle's bar.
Obvious Child,2014,Gillian Robespierre,"Jenny Slate, Jake Lacy, Gaby Hoffmann, Gabe Liedman",6.7,84,Comedy,2014-06-27,A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.
Mistress America,2015,Noah Baumbach,"Greta Gerwig, Lola Kirke, Shana Dowdeswell, Shelby Rebecca Wong",6.7,84,Comedy,2015-09-04,"A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be."
Clouds of Sils Maria,2014,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger",6.7,124,Drama,2014-08-20,A film star comes face-to-face with an uncomfortable reflection of herself while starring in a revival of the play that launched her career.
Jab Tak Hai Jaan,2012,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Anupam Kher",6.7,198,Drama,2012-11-13,An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.
Miss Peregrine's Home for Peculiar Children,2016,Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",6.7,127,Adventure,2016-09-30,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special ..."
Liberal Arts,2012,Josh Radnor,"Josh Radnor, Elizabeth Olsen, Zac Efron, Elizabeth Reaser",6.7,97,Comedy,2012-10-05,"When 30-something Jesse returns to his alma mater for a professor's retirement party, he falls for Zibby, a college student, and is faced with a powerful attraction that springs up between them."
Your Sister's Sister,2011,Lynn Shelton,"Mark Duplass, Emily Blunt, Rosemarie DeWitt, Mike Birbiglia",6.7,90,Comedy,2011-06-29,Iris invites her friend Jack to stay at her family's island getaway after his brother's death. Jack's drunken encounter with Iris' sister Hannah at their remote cabin kicks off a revealing stretch of days.
Killer Joe,2011,William Friedkin,"Matthew McConaughey, Emile Hirsch, Juno Temple, Thomas Haden Church",6.7,102,Drama,2011-06-29,"When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance."
The Hunter,2011,Daniel Nettheim,"Willem Dafoe, Sam Neill, Morgan Davies, Jacek Koman",6.7,102,Adventure,2011-10-06,"Martin, a mercenary, is sent from Europe by a mysterious biotech company to the Tasmanian wilderness on a hunt for the last Tasmanian tiger."
Happythankyoumoreplease,2010,Josh Radnor,"Josh Radnor, Malin Akerman, Zoe Kazan, Michael Algieri",6.7,100,Comedy,2010-03-03,"Captures a generational moment - young people on the cusp of truly growing up, tiring of their reflexive cynicism, each in their own ways struggling to connect and define what it means to love and be loved."
This Must Be the Place,2011,Paolo Sorrentino,"Sean Penn, Frances McDormand, Judd Hirsch, Eve Hewson",6.7,118,Adventure,2011-08-24,"Cheyenne, a retired rock star living off his royalties in Dublin, returns to New York City to find the man responsible for a humiliation suffered by his recently deceased father during W.W.II."
If I Stay,2014,R.J. Cutler,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley, Joshua Leonard",6.7,107,Drama,2014-08-22,"Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if..."
Seeking a Friend for the End of the World,2012,Lorene Scafaria,"Steve Carell, Keira Knightley, Melanie Lynskey, Patton Oswalt",6.7,101,Adventure,2012-06-22,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in h..."
